Student_ID,Gender,Age,Study_Hours_per_Week,Attendance_Percentage,Previous_Grade,Internet_Access,Assignments_Completed,Mock_Test_Score,Final_Exam_Score,Performance,Cluster
STU1000,Male,19,11,68,82,Yes,9,78,90,Excellent,3
STU1001,Female,23,36,85,66,Yes,19,32,87,Excellent,2
STU1002,Male,23,23,81,63,Yes,12,84,36,Poor,2
STU1003,Male,23,10,56,46,Yes,15,69,63,Average,1
STU1004,Male,20,24,77,45,Yes,8,95,91,Excellent,0
STU1005,Female,23,31,93,85,Yes,15,69,68,Average,2
STU1006,Male,21,11,67,72,Yes,9,59,36,Poor,3
STU1007,Male,19,9,54,97,No,2,54,65,Average,3
STU1008,Male,24,15,72,88,Yes,13,36,78,Excellent,2
STU1009,Female,23,19,71,56,Yes,12,79,90,Excellent,1
STU1010,Male,17,7,75,85,Yes,3,30,88,Excellent,3
STU1011,Male,24,9,91,81,Yes,3,73,87,Excellent,2
STU1012,Male,20,27,61,69,Yes,5,78,80,Excellent,3
STU1013,Male,21,13,89,47,Yes,18,36,88,Excellent,0
STU1014,Female,17,19,68,79,Yes,10,32,65,Average,3
STU1015,Male,17,7,96,85,Yes,7,30,58,Average,3
STU1016,Female,17,33,50,46,Yes,13,80,59,Average,3
STU1017,Female,17,10,52,45,Yes,7,67,69,Average,3
STU1018,Female,24,21,76,43,Yes,13,72,91,Excellent,1
STU1019,Male,24,30,67,40,No,6,84,62,Average,1
STU1020,Female,19,25,99,54,Yes,17,86,67,Average,0
STU1021,Male,23,12,79,70,Yes,11,82,87,Excellent,2
STU1022,Female,22,25,51,64,Yes,13,62,50,Average,1
STU1023,Female,19,15,54,86,No,14,91,60,Average,3
STU1024,Female,19,12,78,72,Yes,17,40,46,Poor,3
STU1025,Female,21,28,82,91,Yes,11,81,65,Average,2
STU1026,Female,21,39,91,74,No,9,30,61,Average,0
STU1027,Female,23,18,69,94,Yes,11,43,70,Average,2
STU1028,Female,22,18,79,44,Yes,7,50,93,Excellent,0
STU1029,Female,21,14,91,44,Yes,5,63,37,Poor,0
STU1030,Male,23,16,54,75,Yes,18,43,66,Average,1
STU1031,Male,23,38,99,56,Yes,0,69,49,Poor,0
STU1032,Female,24,14,70,92,Yes,12,64,97,Excellent,2
STU1033,Female,18,21,64,91,Yes,15,71,35,Poor,3
STU1034,Female,24,21,69,53,Yes,17,49,39,Poor,1
STU1035,Male,22,7,57,97,No,11,89,40,Poor,2
STU1036,Female,21,35,98,68,Yes,4,38,39,Poor,0
STU1037,Male,22,5,80,47,Yes,12,62,62,Average,1
STU1038,Male,19,16,61,73,Yes,7,78,78,Excellent,3
STU1039,Male,19,8,70,79,Yes,5,97,50,Average,3
STU1040,Male,22,17,79,40,Yes,2,33,56,Average,1
STU1041,Male,18,38,76,68,Yes,19,77,57,Average,3
STU1042,Female,18,25,93,75,Yes,3,45,77,Excellent,0
STU1043,Female,24,26,75,90,Yes,11,76,77,Excellent,2
STU1044,Female,22,8,82,76,Yes,12,55,60,Average,2
STU1045,Female,21,22,75,68,Yes,1,99,75,Excellent,2
STU1046,Female,24,9,75,44,Yes,18,66,65,Average,1
STU1047,Male,20,23,85,92,No,3,51,51,Average,2
STU1048,Female,18,6,89,71,Yes,12,36,43,Poor,0
STU1049,Female,17,16,50,99,Yes,18,71,89,Excellent,3
STU1050,Male,24,21,64,91,Yes,7,59,40,Poor,2
STU1051,Female,19,14,99,63,No,7,35,98,Excellent,0
STU1052,Male,24,38,50,58,Yes,15,53,38,Poor,1
STU1053,Female,22,10,60,51,Yes,10,95,90,Excellent,1
STU1054,Male,17,12,51,91,Yes,17,69,52,Average,3
STU1055,Female,22,15,50,40,Yes,3,44,66,Average,1
STU1056,Female,23,16,80,46,No,0,82,82,Excellent,1
STU1057,Male,19,13,93,56,Yes,0,34,63,Average,0
STU1058,Male,19,6,65,73,Yes,13,65,66,Average,3
STU1059,Male,18,12,71,82,No,3,75,59,Average,3
STU1060,Male,24,15,91,46,Yes,10,52,97,Excellent,0
STU1061,Male,18,14,67,56,No,17,74,43,Poor,3
STU1062,Male,17,25,96,98,Yes,15,39,48,Poor,3
STU1063,Male,24,24,66,42,Yes,16,83,54,Average,1
STU1064,Male,23,12,79,68,No,1,99,44,Poor,2
STU1065,Female,22,33,59,61,Yes,3,61,45,Poor,1
STU1066,Female,23,16,84,77,Yes,2,72,73,Average,2
STU1067,Male,19,18,70,93,Yes,14,44,53,Average,3
STU1068,Female,17,25,65,82,Yes,1,95,53,Average,3
STU1069,Female,20,26,55,68,Yes,18,44,77,Excellent,3
STU1070,Female,17,25,52,89,Yes,8,49,95,Excellent,3
STU1071,Female,21,34,90,89,Yes,9,79,99,Excellent,2
