Date,Study_Duration,Study_Time,Subject,Distractions,Quiz_Score
2026-03-16,0,Morning,Mathematics,None,0
2026-03-16,0,Morning,Mathematics,None,54
2026-03-16,0,Morning,Mathematics,None,54
2026-03-25,60,Morning,Mathematics,None,11
2026-03-25,60,Morning,English,None,30
2026-03-25,60,Morning,English,None,30
2026-03-25,60,Morning,English,None,30
2026-03-25,60,Morning,English,None,30
2026-03-25,60,Morning,English,None,30
2026-03-25,60,Morning,English,None,30
2026-03-25,60,Morning,Math,None,80
2026-03-25,60,Morning,Math,None,80
2026-03-25,60,Morning,Math,None,80
2026-03-25,60,Morning,Programming,None,80
2026-03-25,60,Morning,Mathematics,None,85
2026-03-25,60,Morning,Mathematics,None,85
2026-03-25,60,Morning,Mathematics,None,85
2026-03-25,100,Morning,Mathematics,High,42
2026-03-25,100,Morning,Mathematics,High,42
2026-03-25,100,Morning,Mathematics,High,42
2026-03-25,100,Morning,Mathematics,Low,42
2026-03-25,100,Morning,Mathematics,Low,42
2026-03-25,100,Morning,Mathematics,Low,42
2026-03-25,100,Morning,Mathematics,Low,42
2026-03-25,100,Morning,Mathematics,Low,42
2026-03-25,100,Morning,Mathematics,Low,42
2026-03-25,100,Morning,Mathematics,Low,42
2026-03-25,100,Morning,Mathematics,Low,42
2026-03-25,100,Morning,Mathematics,Low,42
2026-03-25,100,Morning,Programming,Low,42
2026-03-25,100,Morning,Programming,Low,42
2026-03-25,100,Morning,Programming,Low,0
2026-03-25,100,Morning,Programming,High,100
2026-03-25,30,Morning,Programming,High,100
2026-03-25,60,Morning,Programming,High,100
2026-03-25,30,Morning,Programming,High,40
2026-03-25,60,Morning,Programming,High,60
2026-03-25,120,Morning,Programming,High,90
2026-03-25,120,Morning,Programming,High,90
2026-03-25,120,Morning,Programming,High,90
2026-03-25,30,Morning,Programming,High,29
2026-03-25,60,Evening,Mathematics,None,85
2026-03-25,60,Evening,Mathematics,None,85
2026-03-25 11:44:10.718295,60,Morning,Programming,Medium,21
2026-03-25T11:48:01.941870,60,Morning,Programming,Medium,80
2026-03-25T11:48:03.372677,60,Morning,Programming,Medium,80
2026-03-25T11:48:16.999687,60,Morning,Programming,None,0
2026-03-25T11:48:20.455314,60,Morning,Programming,None,0
2026-03-25T11:48:23.238661,60,Morning,Programming,None,0
2026-03-25,60,Morning,Programming,None,85
2026-03-25,60,Morning,Programming,None,85
2026-03-25,60,Morning,Programming,None,85
2026-03-25T11:50:59.578182,65,Morning,English,Medium,27
2026-03-25T11:51:02.534032,65,Morning,English,Medium,27
2026-03-25T11:51:06.705717,65,Morning,English,Medium,27
2026-03-25T11:51:08.983265,65,Morning,English,Medium,27
2026-03-25T11:51:12.016659,65,Morning,English,Medium,27
2026-03-25T11:51:17.366510,65,Morning,English,Low,27
2026-03-25T11:54:45.933993,60,Evening,Programming,Low,4
2026-03-25T11:54:48.930514,60,Evening,Programming,Low,4
2026-03-25T11:54:51.594850,60,Evening,Programming,Low,4
2026-03-25T11:55:08.600932,10,Evening,English,High,92
2026-03-25T11:55:13.275709,10,Evening,English,High,92
2026-03-25T11:56:10.508294,10,Evening,English,Medium,34
2026-03-25T11:56:13.840951,10,Evening,English,Medium,34
2026-03-25T12:00:02.238550,60,Morning,Programming,None,46
2026-03-25T12:02:37.593998,60,Evening,Programming,Low,18
2026-03-25T12:08:42.250242,60,Afternoon,Programming,None,80
2026-03-25T12:08:44.661332,60,Afternoon,Programming,None,80
2026-03-25T12:09:51.942566,60,Afternoon,Programming,Medium,80
2026-03-25T12:09:54.249374,60,Afternoon,Programming,Medium,80
2026-03-25T12:10:42.759542,60,Afternoon,Science,Medium,80
2026-03-25T12:10:49.498075,60,Afternoon,Programming,Medium,80
2026-03-25T12:25:20.784257,60,Evening,Programming,Low,28
2026-03-25T12:25:24.542854,60,Evening,Programming,Low,28
2026-03-25T12:25:58.862926,60,Evening,Programming,Medium,28
2026-03-25T12:26:06.507286,60,Morning,Programming,Medium,28
2026-03-25T12:27:06.428108,60,Morning,Programming,None,80
2026-03-25T12:40:29.025331,60,Evening,Programming,High,88
2026-03-25T12:42:02.315235,60,Afternoon,Programming,Medium,88
2026-03-25T12:43:10.701561,60,Afternoon,Mathematics,Low,32
2026-03-25T12:43:27.012475,60,Afternoon,Mathematics,Low,32
2026-03-25T12:44:12.877287,60,Afternoon,Programming,High,93
2026-03-25T12:44:42.888448,60,Afternoon,Programming,High,93
2026-03-25T12:45:32.330959,60,Afternoon,Programming,High,93
2026-03-25T12:45:57.753997,60,Morning,Mathematics,None,21
2026-03-25T12:46:03.231040,60,Afternoon,Mathematics,None,21
2026-03-25T14:49:13.589975,60,Evening,Science,None,22
2026-03-25T14:49:19.013435,60,Evening,Science,None,97
2026-03-25T14:49:52.131919,60,Evening,Science,None,97
2026-03-25T14:52:46.502013,60,Evening,Programming,None,97
2026-03-25T14:53:00.079550,20,Morning,Mathematics,Medium,1
2026-03-25T14:55:58.034560,60,Evening,Mathematics,None,80
2026-03-25T14:59:08.406794,60,Evening,Mathematics,None,80
2026-03-25T15:08:04.538574,60,Evening,Programming,Low,80
2026-03-25T15:44:41.509061,60,Evening,Mathematics,None,80
2026-03-25T15:46:16.786947,60,Morning,Programming,Medium,80
2026-03-25T15:46:19.960273,60,Morning,Programming,Medium,80
